number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-7.845621202864424,2026-01-20 16:43:20.402461,2026-01-20 16:43:22.415136,0 days 00:00:02.012675,41.78524107114005,0.4324600158879434,3.049809985896808,COMPLETE
1,-7.849805941594909,2026-01-20 16:43:22.416017,2026-01-20 16:43:24.155246,0 days 00:00:01.739229,63.47128924579679,0.8431428791523614,2.9415425818543253,COMPLETE
2,-7.776552025698139,2026-01-20 16:43:24.156102,2026-01-20 16:43:25.750507,0 days 00:00:01.594405,49.630351781408734,0.07764115671164477,1.7523880268813905,COMPLETE
3,-7.938082631748657,2026-01-20 16:43:25.751416,2026-01-20 16:43:27.029511,0 days 00:00:01.278095,45.55391959129727,0.4137421871714113,3.5333168645970585,COMPLETE
4,-7.4327040140920575,2026-01-20 16:43:27.030287,2026-01-20 16:43:27.052940,0 days 00:00:00.022653,59.971634075552714,0.1405566404672921,0.5409021528678352,COMPLETE
5,-7.888713444645413,2026-01-20 16:43:27.053782,2026-01-20 16:43:27.066303,0 days 00:00:00.012521,46.93572581017273,0.31913449285079615,3.2763957837942814,COMPLETE
6,-7.324398219813526,2026-01-20 16:43:27.067246,2026-01-20 16:43:27.079154,0 days 00:00:00.011908,42.684672605751686,0.33149371039246606,0.645608040979597,COMPLETE
7,-7.374345530248606,2026-01-20 16:43:27.079740,2026-01-20 16:43:27.092221,0 days 00:00:00.012481,62.982875990718874,0.7109490294544183,0.528244377271204,COMPLETE
8,-7.888055065462874,2026-01-20 16:43:27.092872,2026-01-20 16:43:27.115680,0 days 00:00:00.022808,62.97235745366442,0.13101099992797144,2.057557325752519,COMPLETE
9,-7.402015838064784,2026-01-20 16:43:27.116469,2026-01-20 16:43:27.129297,0 days 00:00:00.012828,33.358096264149864,0.2970872157029049,1.202193870319914,COMPLETE
10,-7.3489722550526135,2026-01-20 16:43:27.129979,2026-01-20 16:43:27.145107,0 days 00:00:00.015128,25.105906730545453,1.085233537199595,1.3486334788599215,COMPLETE
11,-7.343647657123651,2026-01-20 16:43:27.145686,2026-01-20 16:43:27.160513,0 days 00:00:00.014827,26.833443439008175,1.196151879036922,1.2912151794654503,COMPLETE
12,-7.243149320057418,2026-01-20 16:43:27.161335,2026-01-20 16:43:27.176654,0 days 00:00:00.015319,25.201305005587482,1.103529534702717,1.0991572342983345,COMPLETE
13,-7.308272829210378,2026-01-20 16:43:27.177142,2026-01-20 16:43:27.192059,0 days 00:00:00.014917,36.201016260938275,0.9297604484076162,0.915840328761713,COMPLETE
14,-7.799760057674137,2026-01-20 16:43:27.192791,2026-01-20 16:43:27.208042,0 days 00:00:00.015251,34.650063409814464,0.9376885838599786,2.460778769452634,COMPLETE
