number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-9.036900346794942,2026-01-20 16:44:39.059354,2026-01-20 16:44:39.071738,0 days 00:00:00.012384,61.60191355214265,0.4512662652431828,3.8842178552994815,COMPLETE
1,-8.7869785407095,2026-01-20 16:44:39.072277,2026-01-20 16:44:39.084585,0 days 00:00:00.012308,64.23242664326507,0.846673199746692,3.3261147290156594,COMPLETE
2,-8.820258106851714,2026-01-20 16:44:39.085155,2026-01-20 16:44:39.097770,0 days 00:00:00.012615,53.486451230985445,0.8899527024341177,3.3833884347027237,COMPLETE
3,-8.371420804733342,2026-01-20 16:44:39.098487,2026-01-20 16:44:39.111026,0 days 00:00:00.012539,32.02258266942014,1.0124426489976919,2.179433736787413,COMPLETE
4,-8.866582146364188,2026-01-20 16:44:39.111611,2026-01-20 16:44:39.123987,0 days 00:00:00.012376,26.439401568204694,0.06392942841366263,3.5747435001073202,COMPLETE
5,-8.530370220181627,2026-01-20 16:44:39.124821,2026-01-20 16:44:39.137299,0 days 00:00:00.012478,49.21390483591087,0.3882929531331055,1.1854146564866546,COMPLETE
6,-8.499642140694236,2026-01-20 16:44:39.137818,2026-01-20 16:44:39.150451,0 days 00:00:00.012633,60.376290779398374,0.2431492544172999,1.4352476530238936,COMPLETE
7,-9.076453883674024,2026-01-20 16:44:39.150972,2026-01-20 16:44:39.163275,0 days 00:00:00.012303,62.45594309072513,0.21364450239431776,0.7704364041671368,COMPLETE
8,-9.77412197040202,2026-01-20 16:44:39.163918,2026-01-20 16:44:39.176536,0 days 00:00:00.012618,50.748113379954326,0.8357074348255311,0.5678377627133271,COMPLETE
9,-8.727430969015284,2026-01-20 16:44:39.177108,2026-01-20 16:44:39.189750,0 days 00:00:00.012642,25.314866011615003,0.43292458408606427,3.2487707246107274,COMPLETE
10,-8.403682860699927,2026-01-20 16:44:39.190362,2026-01-20 16:44:39.205971,0 days 00:00:00.015609,35.50900274196027,1.1762415461767213,2.329106779543311,COMPLETE
11,-8.403871669150007,2026-01-20 16:44:39.206588,2026-01-20 16:44:39.222098,0 days 00:00:00.015510,37.18443069427467,1.1968413576145223,2.3195876333266123,COMPLETE
12,-8.397669013900721,2026-01-20 16:44:39.222680,2026-01-20 16:44:39.238323,0 days 00:00:00.015643,36.73622973380506,1.1497342797217556,2.2979329276938594,COMPLETE
13,-8.34156314269845,2026-01-20 16:44:39.238997,2026-01-20 16:44:39.254373,0 days 00:00:00.015376,37.304785359569046,1.0171842660851287,1.842829126614614,COMPLETE
14,-8.358569905078365,2026-01-20 16:44:39.254935,2026-01-20 16:44:39.270092,0 days 00:00:00.015157,42.370680621880844,0.978761971667894,1.8076229420234775,COMPLETE
15,-8.377840942212593,2026-01-20 16:44:39.270935,2026-01-20 16:44:39.285892,0 days 00:00:00.014957,43.69277554550469,0.7074949681391888,1.932368794114137,COMPLETE
16,-8.372322777392405,2026-01-20 16:44:39.286346,2026-01-20 16:44:39.301251,0 days 00:00:00.014905,42.432253284226604,0.6662226720119359,1.758460483344219,COMPLETE
17,-8.500801922304927,2026-01-20 16:44:39.302070,2026-01-20 16:44:39.315302,0 days 00:00:00.013232,41.96473261717288,0.9830005210162208,2.6411582347499976,COMPLETE
18,-8.503079896115302,2026-01-20 16:44:39.316057,2026-01-20 16:44:39.329169,0 days 00:00:00.013112,31.874634506771635,1.0516252395154613,1.329140168246783,COMPLETE
19,-8.547906308063977,2026-01-20 16:44:39.329979,2026-01-20 16:44:39.342995,0 days 00:00:00.013016,46.72873452682681,0.7445883570806112,2.7633005570219975,COMPLETE
20,-8.359491221927486,2026-01-20 16:44:39.343524,2026-01-20 16:44:39.358271,0 days 00:00:00.014747,39.653970530206905,0.593599589534056,1.6734705394857223,COMPLETE
21,-8.368100229242591,2026-01-20 16:44:39.358822,2026-01-20 16:44:39.373714,0 days 00:00:00.014892,39.83273957886931,0.5672585346946152,1.8089434371405304,COMPLETE
