number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-8.142218555466487,2026-01-20 16:44:42.192505,2026-01-20 16:44:42.214958,0 days 00:00:00.022453,51.40613825693535,1.0757494496056201,1.4941747802054997,COMPLETE
1,-8.193622227431948,2026-01-20 16:44:42.215735,2026-01-20 16:44:42.228180,0 days 00:00:00.012445,28.82084673073006,0.8429388718439894,2.8629196973605366,COMPLETE
2,-8.096671582286262,2026-01-20 16:44:42.228746,2026-01-20 16:44:42.241149,0 days 00:00:00.012403,32.05898535342081,0.5421526115692106,1.679750441281005,COMPLETE
3,-8.104391220199862,2026-01-20 16:44:42.241817,2026-01-20 16:44:42.254566,0 days 00:00:00.012749,26.46721275331413,0.9172035113168935,1.7786737041625198,COMPLETE
4,-8.356631566206747,2026-01-20 16:44:42.255220,2026-01-20 16:44:42.267986,0 days 00:00:00.012766,38.61427667003515,0.19820716461491222,1.2134492673852835,COMPLETE
5,-8.15808859405358,2026-01-20 16:44:42.268650,2026-01-20 16:44:42.281065,0 days 00:00:00.012415,36.79914302600473,0.8869655742999316,2.934108424071727,COMPLETE
6,-8.3301448363359,2026-01-20 16:44:42.281837,2026-01-20 16:44:42.293603,0 days 00:00:00.011766,41.707769377234314,0.14167232006034441,1.2218898758701606,COMPLETE
7,-8.107739985377338,2026-01-20 16:44:42.294290,2026-01-20 16:44:42.306643,0 days 00:00:00.012353,28.98661328438123,0.9169121864123989,1.6586572460824274,COMPLETE
8,-8.240247777789165,2026-01-20 16:44:42.307130,2026-01-20 16:44:42.319215,0 days 00:00:00.012085,37.982488600989356,0.666887472685789,3.2437869142115234,COMPLETE
9,-8.151551731491516,2026-01-20 16:44:42.319748,2026-01-20 16:44:42.332307,0 days 00:00:00.012559,37.90143360507638,0.8645900338786993,1.458515351114568,COMPLETE
10,-8.484724869235468,2026-01-20 16:44:42.332899,2026-01-20 16:44:42.348033,0 days 00:00:00.015134,58.668999984023735,0.3738240139512746,3.9713353725352585,COMPLETE
11,-10.144996754526892,2026-01-20 16:44:42.348629,2026-01-20 16:44:42.363759,0 days 00:00:00.015130,25.139540352384635,0.5444995011277429,0.5543060825746937,COMPLETE
12,-8.0600845364565,2026-01-20 16:44:42.364537,2026-01-20 16:44:42.377887,0 days 00:00:00.013350,31.099724096113626,0.5866327940020427,2.1509245813442686,COMPLETE
13,-8.032820990391532,2026-01-20 16:44:42.378449,2026-01-20 16:44:42.393681,0 days 00:00:00.015232,49.414019634538185,0.509769728939266,2.2009280608080735,COMPLETE
14,-8.058657902262926,2026-01-20 16:44:42.394307,2026-01-20 16:44:42.409436,0 days 00:00:00.015129,51.271784328217734,0.3646143182946959,2.393683600848544,COMPLETE
15,-8.059272636816294,2026-01-20 16:44:42.410022,2026-01-20 16:44:42.425080,0 days 00:00:00.015058,48.9965175605626,0.34144943372793474,2.410493345253676,COMPLETE
16,-8.08121736492626,2026-01-20 16:44:42.425752,2026-01-20 16:44:42.439576,0 days 00:00:00.013824,64.93695444379152,0.3413036626956284,2.4279816278515285,COMPLETE
17,-8.291665198776895,2026-01-20 16:44:42.440141,2026-01-20 16:44:42.454985,0 days 00:00:00.014844,54.407014597126725,0.05559265457781415,3.522060806582521,COMPLETE
18,-8.030524929491285,2026-01-20 16:44:42.455428,2026-01-20 16:44:42.470570,0 days 00:00:00.015142,46.13239499963604,0.42804745927570226,2.120075929426627,COMPLETE
