number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_n_layers,params_scale_target,params_scaler,params_weight_decay,state
26,201.1491231282552,2026-01-03 01:18:55.769582,2026-01-03 01:19:23.058810,0 days 00:00:27.289228,gelu,0.2881753067642687,17,0.0008057890304277326,2,False,robust,1.0533781438461423e-05,COMPLETE
27,197.43228149414062,2026-01-03 01:19:23.067811,2026-01-03 01:19:49.420504,0 days 00:00:26.352693,mish,0.2356203378934914,12,0.0055731386554264736,2,True,robust,8.419446275853122e-06,COMPLETE
28,169.82879638671875,2026-01-03 01:19:49.428500,2026-01-03 01:20:15.595214,0 days 00:00:26.166714,relu,0.17699333675171286,20,0.021720736964525568,2,True,standard,5.822277991972577e-05,COMPLETE
29,196.6764373779297,2026-01-03 01:20:15.606213,2026-01-03 01:20:42.186450,0 days 00:00:26.580237,silu,0.28580758423421276,27,0.05338394290753585,2,True,minmax,1.8057195209541857e-05,COMPLETE
30,177.21588134765625,2026-01-03 01:20:42.195448,2026-01-03 01:21:10.120655,0 days 00:00:27.925207,gelu,0.13773908488487607,15,0.03133502268283422,2,True,robust,1.1567569987586567e-06,COMPLETE
31,166.47193908691406,2026-01-03 01:21:10.129655,2026-01-03 01:21:36.314872,0 days 00:00:26.185217,relu,0.17965945428522512,19,0.06505270673082175,2,True,standard,4.638689513081717e-05,COMPLETE
32,162.73953247070312,2026-01-03 01:21:36.323871,2026-01-03 01:22:02.587570,0 days 00:00:26.263699,relu,0.2304330786299581,24,0.06891252799088628,2,True,standard,0.00017145962864927752,COMPLETE
33,152.6302032470703,2026-01-03 01:22:02.596573,2026-01-03 01:22:28.973245,0 days 00:00:26.376672,relu,0.1020905589509436,23,0.04052668011036633,2,True,standard,0.00019856251916080557,COMPLETE
34,198.21620781792535,2026-01-03 01:22:28.980244,2026-01-03 01:22:54.853393,0 days 00:00:25.873149,relu,0.11746707921766887,28,0.0008141882073411155,2,False,standard,0.00020015371263027072,COMPLETE
35,158.4785614013672,2026-01-03 01:22:54.861397,2026-01-03 01:23:21.238619,0 days 00:00:26.377222,relu,0.1408106255053322,24,0.03976487460948265,2,True,standard,0.00021965506565443103,COMPLETE
36,155.9203643798828,2026-01-03 01:23:21.245619,2026-01-03 01:23:47.652809,0 days 00:00:26.407190,relu,0.1443739872535756,24,0.03735361457937489,2,True,standard,0.00019171655018878622,COMPLETE
37,183.7758026123047,2026-01-03 01:23:47.660809,2026-01-03 01:24:13.634033,0 days 00:00:25.973224,relu,0.1373171767241274,8,0.038330245986883414,2,True,standard,0.0003053237825647197,COMPLETE
38,198.20849853515625,2026-01-03 01:24:13.641034,2026-01-03 01:24:39.594755,0 days 00:00:25.953721,relu,0.10788328011378599,29,0.0008513940980610772,2,False,standard,0.000923291372383529,COMPLETE
39,198.08401489257812,2026-01-03 01:24:39.602756,2026-01-03 01:25:05.247462,0 days 00:00:25.644706,relu,0.10072504594674288,5,0.017123327941774447,2,True,standard,9.590019310864472e-05,COMPLETE
40,182.0220184326172,2026-01-03 01:25:05.256465,2026-01-03 01:25:31.553668,0 days 00:00:26.297203,relu,0.1302697267576919,23,0.006438588976303605,2,True,none,0.00024161143794320335,COMPLETE
41,164.96807861328125,2026-01-03 01:25:31.561668,2026-01-03 01:25:58.054365,0 days 00:00:26.492697,relu,0.16103096137806844,24,0.0319386792886351,2,True,standard,0.00015031856911483952,COMPLETE
42,153.91371154785156,2026-01-03 01:25:58.063365,2026-01-03 01:26:24.543584,0 days 00:00:26.480219,relu,0.15437635817536977,31,0.04516096265094573,2,True,standard,0.00015706532700352098,COMPLETE
43,149.38650512695312,2026-01-03 01:26:24.551588,2026-01-03 01:26:51.012288,0 days 00:00:26.460700,relu,0.1553294750844813,31,0.0421593029741721,2,True,standard,0.0005948607538233904,COMPLETE
44,151.755615234375,2026-01-03 01:26:51.019288,2026-01-03 01:27:17.581977,0 days 00:00:26.562689,relu,0.12308812598778494,32,0.04091689169404017,2,True,standard,0.0004717425310173592,COMPLETE
45,180.80178833007812,2026-01-03 01:27:17.589977,2026-01-03 01:27:44.196179,0 days 00:00:26.606202,relu,0.15847262167315102,30,0.002947008456517783,2,True,standard,0.00045361578356237057,COMPLETE
46,159.41204833984375,2026-01-03 01:27:44.204179,2026-01-03 01:28:10.633903,0 days 00:00:26.429724,relu,0.12254168908682572,32,0.025602538776072627,2,True,standard,0.000644481965743663,COMPLETE
47,198.60488647460937,2026-01-03 01:28:10.642904,2026-01-03 01:28:36.445668,0 days 00:00:25.802764,relu,0.20360325499046805,32,0.0009043473140769934,2,False,standard,0.00032868231104309027,COMPLETE
48,170.03582763671875,2026-01-03 01:28:36.453668,2026-01-03 01:29:00.400326,0 days 00:00:23.946658,relu,0.15001176046329315,26,0.01343193528330663,1,True,standard,0.0009664494484219888,COMPLETE
49,172.63404846191406,2026-01-03 01:29:00.409326,2026-01-03 01:29:26.812556,0 days 00:00:26.403230,silu,0.11863606160723733,22,0.0082043368519895,2,True,none,0.0004787432918312427,COMPLETE
50,158.68161010742188,2026-01-03 01:29:26.819556,2026-01-03 01:29:53.288788,0 days 00:00:26.469232,relu,0.19541380148681725,29,0.040423153059497056,2,True,standard,0.00012667732408471458,COMPLETE
