number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-8.259389016754906,2026-01-20 16:38:38.430655,2026-01-20 16:38:38.443336,0 days 00:00:00.012681,50.870135236213954,0.6144520135946377,1.9718022255076988,COMPLETE
1,-8.775462346481849,2026-01-20 16:38:38.443853,2026-01-20 16:38:38.456253,0 days 00:00:00.012400,37.91816496455816,0.9960092662618774,3.5457583416661493,COMPLETE
2,-8.338394223525395,2026-01-20 16:38:38.456778,2026-01-20 16:38:38.469042,0 days 00:00:00.012264,32.816593857924715,0.4118990033721061,1.3533854363613576,COMPLETE
3,-8.916377472212451,2026-01-20 16:38:38.469580,2026-01-20 16:38:38.482001,0 days 00:00:00.012421,33.642522195143854,0.4640221854673165,3.8127438631779462,COMPLETE
4,-8.25051431236908,2026-01-20 16:38:38.482585,2026-01-20 16:38:38.495011,0 days 00:00:00.012426,32.676933330801624,0.636998431593696,2.188510692042173,COMPLETE
5,-8.780718932570135,2026-01-20 16:38:38.495526,2026-01-20 16:38:38.507631,0 days 00:00:00.012105,59.50636138161024,0.9583852941767351,3.6480524381712667,COMPLETE
6,-8.245485658421252,2026-01-20 16:38:38.508216,2026-01-20 16:38:38.520387,0 days 00:00:00.012171,34.84108986781776,0.4958165248056424,1.4995230098657362,COMPLETE
7,-8.385834497211393,2026-01-20 16:38:38.520876,2026-01-20 16:38:38.533165,0 days 00:00:00.012289,61.38113345867214,0.4809903473281507,2.9182152528577987,COMPLETE
8,-8.30258183352143,2026-01-20 16:38:38.533704,2026-01-20 16:38:38.545972,0 days 00:00:00.012268,54.335108565829096,0.8696837176094544,2.3801638544055046,COMPLETE
9,-8.220883602701813,2026-01-20 16:38:38.546468,2026-01-20 16:38:38.568996,0 days 00:00:00.022528,40.45867087607743,0.5274696473770389,1.8616664612014024,COMPLETE
10,-10.339134235192045,2026-01-20 16:38:38.569828,2026-01-20 16:38:38.585200,0 days 00:00:00.015372,25.095313727396004,0.12683652894347952,0.5262030106870632,COMPLETE
11,-8.305062588419826,2026-01-20 16:38:38.585799,2026-01-20 16:38:38.600810,0 days 00:00:00.015011,43.79061760602494,0.1704825296409913,1.2931463904739262,COMPLETE
12,-8.222335264529914,2026-01-20 16:38:38.601392,2026-01-20 16:38:38.616583,0 days 00:00:00.015191,41.46734400768984,0.735889934513791,1.5177583052032244,COMPLETE
13,-9.728791836861394,2026-01-20 16:38:38.617138,2026-01-20 16:38:38.631802,0 days 00:00:00.014664,43.0340301828332,0.7568278700746511,0.5959409016036132,COMPLETE
14,-8.26139426331992,2026-01-20 16:38:38.632331,2026-01-20 16:38:38.647392,0 days 00:00:00.015061,49.016442680386696,1.1683776829135741,1.6981880052961493,COMPLETE
15,-8.402503966103703,2026-01-20 16:38:38.647935,2026-01-20 16:38:38.662901,0 days 00:00:00.014966,40.025866842624325,0.7700557849172658,2.700161662608344,COMPLETE
16,-8.589365389620632,2026-01-20 16:38:38.663456,2026-01-20 16:38:38.679303,0 days 00:00:00.015847,47.72916926303501,0.25576740450520863,0.9744299342723877,COMPLETE
17,-8.232401274198825,2026-01-20 16:38:38.679848,2026-01-20 16:38:38.694924,0 days 00:00:00.015076,26.91404902241751,0.3523469859735768,1.9148252117990963,COMPLETE
18,-8.435748264748145,2026-01-20 16:38:38.695513,2026-01-20 16:38:38.710413,0 days 00:00:00.014900,54.25222676591751,0.6052357582483566,1.0681093056345403,COMPLETE
19,-8.479650950603405,2026-01-20 16:38:38.710906,2026-01-20 16:38:38.725888,0 days 00:00:00.014982,38.06115874873821,1.164120239142476,2.8643267891564133,COMPLETE
20,-8.31430007063996,2026-01-20 16:38:38.726681,2026-01-20 16:38:38.742028,0 days 00:00:00.015347,29.022426262050306,0.7352869116027552,2.3943760103499314,COMPLETE
21,-8.272367940384328,2026-01-20 16:38:38.742602,2026-01-20 16:38:38.757749,0 days 00:00:00.015147,26.241505100282023,0.32518977913802677,1.7006460795017788,COMPLETE
22,-8.206227230962067,2026-01-20 16:38:38.758363,2026-01-20 16:38:38.772631,0 days 00:00:00.014268,29.28927281169988,0.33733724540532406,1.9453781273614217,COMPLETE
23,-8.217832297246275,2026-01-20 16:38:38.773212,2026-01-20 16:38:38.787223,0 days 00:00:00.014011,41.85737331458847,0.05212011938601735,1.8304418546730343,COMPLETE
24,-8.263539438405864,2026-01-20 16:38:38.787948,2026-01-20 16:38:38.803320,0 days 00:00:00.015372,45.93468866940139,0.2193118110852184,2.142090229403401,COMPLETE
25,-8.603139076361781,2026-01-20 16:38:38.803901,2026-01-20 16:38:38.819360,0 days 00:00:00.015459,38.63327777754993,0.05645376960175245,3.3300866936210465,COMPLETE
26,-8.19332303919218,2026-01-20 16:38:38.820127,2026-01-20 16:38:38.834820,0 days 00:00:00.014693,30.78455293744304,0.0644323145895597,1.9171460543779375,COMPLETE
27,-8.340388264353672,2026-01-20 16:38:38.835383,2026-01-20 16:38:38.849367,0 days 00:00:00.013984,29.875364516621218,0.05144068264297473,2.5692087990451906,COMPLETE
28,-8.97653070394443,2026-01-20 16:38:38.849801,2026-01-20 16:38:38.863948,0 days 00:00:00.014147,30.019026528517493,0.29540804453872627,0.9479717224181666,COMPLETE
29,-8.208869045819474,2026-01-20 16:38:38.864468,2026-01-20 16:38:38.878909,0 days 00:00:00.014441,34.10865141149704,0.13453351717592493,2.032295377231276,COMPLETE
30,-8.531487491691466,2026-01-20 16:38:38.879469,2026-01-20 16:38:38.893703,0 days 00:00:00.014234,35.62679493155811,0.16188476345420086,3.068873400320393,COMPLETE
31,-8.212495998204517,2026-01-20 16:38:38.894241,2026-01-20 16:38:38.908008,0 days 00:00:00.013767,31.355431718271983,0.11096155139631995,2.097936875557945,COMPLETE
32,-8.21109015821206,2026-01-20 16:38:38.908536,2026-01-20 16:38:38.922706,0 days 00:00:00.014170,30.938215582396328,0.13904091272485372,2.08444929073809,COMPLETE
33,-8.291137613624652,2026-01-20 16:38:38.923215,2026-01-20 16:38:38.939108,0 days 00:00:00.015893,28.35433983151653,0.2234044812062339,2.388120065002554,COMPLETE
34,-8.208495552122578,2026-01-20 16:38:38.939670,2026-01-20 16:38:38.954008,0 days 00:00:00.014338,35.07115789823513,0.37139482045815997,1.976836213094474,COMPLETE
35,-8.200120386249152,2026-01-20 16:38:38.954741,2026-01-20 16:38:38.969464,0 days 00:00:00.014723,35.862624289345206,0.40771472992989943,1.6600280722968317,COMPLETE
36,-8.368000497156178,2026-01-20 16:38:38.970095,2026-01-20 16:38:38.995671,0 days 00:00:00.025576,36.42235631923311,0.3807797459452893,1.2640788233877158,COMPLETE
37,-8.239592246774254,2026-01-20 16:38:38.996259,2026-01-20 16:38:39.022026,0 days 00:00:00.025767,32.59777826679312,0.40983839291705854,1.5685112824319205,COMPLETE
38,-8.203300027325295,2026-01-20 16:38:39.022586,2026-01-20 16:38:39.037691,0 days 00:00:00.015105,36.84363268707326,0.578828768803446,1.6345052256852588,COMPLETE
39,-8.26233926386159,2026-01-20 16:38:39.038293,2026-01-20 16:38:39.052681,0 days 00:00:00.014388,27.952264959148277,0.5894087702950324,1.6772467909873103,COMPLETE
40,-8.318795061999047,2026-01-20 16:38:39.053367,2026-01-20 16:38:39.067766,0 days 00:00:00.014399,32.457887519537,0.5484425798546597,1.3846475599118395,COMPLETE
41,-8.199288167850693,2026-01-20 16:38:39.068313,2026-01-20 16:38:39.083200,0 days 00:00:00.014887,36.55917960692661,0.4374539936823017,1.8355293588866968,COMPLETE
42,-8.254137169130491,2026-01-20 16:38:39.083733,2026-01-20 16:38:39.098079,0 days 00:00:00.014346,36.25557825255005,0.4667963807850552,2.2665643194088716,COMPLETE
43,-8.192352455634428,2026-01-20 16:38:39.098638,2026-01-20 16:38:39.114005,0 days 00:00:00.015367,36.968444702723986,0.4381850466042218,1.7615031454968921,COMPLETE
44,-8.433486297910317,2026-01-20 16:38:39.114628,2026-01-20 16:38:39.129910,0 days 00:00:00.015282,38.94128575221987,0.6696723162197461,1.1372434993471747,COMPLETE
45,-8.253642851154718,2026-01-20 16:38:39.130549,2026-01-20 16:38:39.144846,0 days 00:00:00.014297,37.03352474173793,0.4272792758910374,1.439411262007655,COMPLETE
46,-8.20287712048604,2026-01-20 16:38:39.145399,2026-01-20 16:38:39.160472,0 days 00:00:00.015073,34.22093438973349,0.5331996309646825,1.7011106643919827,COMPLETE
47,-8.193899258122556,2026-01-20 16:38:39.161093,2026-01-20 16:38:39.175489,0 days 00:00:00.014396,33.54202408974899,0.4896989746432411,1.8000524559176303,COMPLETE
48,-9.406238813630708,2026-01-20 16:38:39.176044,2026-01-20 16:38:39.191360,0 days 00:00:00.015316,32.225349412890026,0.6557740457816251,0.7448015329578912,COMPLETE
49,-8.210992308534543,2026-01-20 16:38:39.191906,2026-01-20 16:38:39.206342,0 days 00:00:00.014436,39.77392810478355,0.44608872306815134,1.812166967919957,COMPLETE
50,-8.275192148198482,2026-01-20 16:38:39.206928,2026-01-20 16:38:39.221448,0 days 00:00:00.014520,42.9021576775732,0.5127607661747201,2.259298824281322,COMPLETE
51,-8.191346092000552,2026-01-20 16:38:39.222031,2026-01-20 16:38:39.237140,0 days 00:00:00.015109,34.0937423138963,0.2777262861064205,1.7784467301308224,COMPLETE
52,-8.189056258164426,2026-01-20 16:38:39.237766,2026-01-20 16:38:39.252389,0 days 00:00:00.014623,33.71347924707983,0.290204797313106,1.8270565414952857,COMPLETE
