number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-7.774911975605659,2026-01-20 16:38:41.658283,2026-01-20 16:38:41.680287,0 days 00:00:00.022004,48.860892821277005,0.37333428438128874,2.5456763923501295,COMPLETE
1,-7.7985486377369515,2026-01-20 16:38:41.681034,2026-01-20 16:38:41.693363,0 days 00:00:00.012329,38.7270357263089,0.38620715443778575,2.0368939260380947,COMPLETE
2,-8.259574166939556,2026-01-20 16:38:41.694180,2026-01-20 16:38:41.706735,0 days 00:00:00.012555,51.45220777490583,0.2987236279024187,3.8499206640145305,COMPLETE
3,-7.942008496011697,2026-01-20 16:38:41.707286,2026-01-20 16:38:41.729633,0 days 00:00:00.022347,58.39923595816821,0.37161105995160254,1.423820022881225,COMPLETE
4,-8.787013277887862,2026-01-20 16:38:41.730267,2026-01-20 16:38:41.742829,0 days 00:00:00.012562,31.94820925689922,0.1272021506834935,0.8971609217109698,COMPLETE
5,-8.18489361615481,2026-01-20 16:38:41.743544,2026-01-20 16:38:41.755795,0 days 00:00:00.012251,27.19718505918603,0.14442207240694382,3.3360085617252366,COMPLETE
6,-7.781588205857567,2026-01-20 16:38:41.756331,2026-01-20 16:38:41.768752,0 days 00:00:00.012421,42.501166957710616,1.0970727452716071,2.0640847598697785,COMPLETE
7,-8.21036338420707,2026-01-20 16:38:41.769284,2026-01-20 16:38:41.781670,0 days 00:00:00.012386,39.07139626948857,0.7656992469918533,3.6003195599018847,COMPLETE
8,-8.04895666285562,2026-01-20 16:38:41.782382,2026-01-20 16:38:41.794631,0 days 00:00:00.012249,27.850855917241738,0.7300637022157648,2.9379573578519746,COMPLETE
9,-8.904617382471859,2026-01-20 16:38:41.795135,2026-01-20 16:38:41.807360,0 days 00:00:00.012225,35.71816461141239,1.1815634707616713,0.809587046154947,COMPLETE
10,-7.841629489203835,2026-01-20 16:38:41.808011,2026-01-20 16:38:41.823187,0 days 00:00:00.015176,64.90283133572382,0.5408980174531257,2.862183420081595,COMPLETE
11,-7.769996976058259,2026-01-20 16:38:41.823850,2026-01-20 16:38:41.839274,0 days 00:00:00.015424,47.762948437043825,1.1938390514446473,2.0088238152227382,COMPLETE
12,-7.78946240346612,2026-01-20 16:38:41.839814,2026-01-20 16:38:41.854872,0 days 00:00:00.015058,49.625293068721696,0.9421762754519634,2.5125568144145367,COMPLETE
13,-7.8713261646616015,2026-01-20 16:38:41.855350,2026-01-20 16:38:41.869714,0 days 00:00:00.014364,47.83302905278117,0.5749678648681084,1.6013200806462078,COMPLETE
14,-7.789457676044985,2026-01-20 16:38:41.870657,2026-01-20 16:38:41.885910,0 days 00:00:00.015253,55.37283628255565,0.9349361137818883,2.541563568090863,COMPLETE
15,-7.927064811852399,2026-01-20 16:38:41.886486,2026-01-20 16:38:41.902153,0 days 00:00:00.015667,44.616754846539486,0.4702920264231721,1.458117013250187,COMPLETE
16,-7.781000674882409,2026-01-20 16:38:41.902895,2026-01-20 16:38:41.917802,0 days 00:00:00.014907,56.12724477062093,0.7158949731836909,1.8528988914337232,COMPLETE
17,-7.755471224246695,2026-01-20 16:38:41.918374,2026-01-20 16:38:41.933388,0 days 00:00:00.015014,61.03967134128331,0.24948184294087117,2.435499903685712,COMPLETE
18,-7.91799505305776,2026-01-20 16:38:41.933962,2026-01-20 16:38:41.949079,0 days 00:00:00.015117,63.14240838355753,0.22054185243798322,3.120436797488347,COMPLETE
19,-7.750858784581668,2026-01-20 16:38:41.949635,2026-01-20 16:38:41.963723,0 days 00:00:00.014088,58.72979015684048,0.9048467944724723,2.3116213750521633,COMPLETE
