number,value,datetime_start,datetime_complete,duration,params_C,params_epsilon,params_gamma,state
0,-8.131592517331706,2026-01-20 16:45:39.519008,2026-01-20 16:45:39.531147,0 days 00:00:00.012139,38.66642227472579,0.9933716540823624,3.205132275564406,COMPLETE
1,-9.059655399121056,2026-01-20 16:45:39.531676,2026-01-20 16:45:39.543958,0 days 00:00:00.012282,26.097590427715,0.13507193130927714,1.69859056123639,COMPLETE
2,-8.498766326037423,2026-01-20 16:45:39.544531,2026-01-20 16:45:39.556760,0 days 00:00:00.012229,60.04949840747089,1.0119598248967971,1.8835538656089839,COMPLETE
3,-9.637061524043595,2026-01-20 16:45:39.557278,2026-01-20 16:45:39.569427,0 days 00:00:00.012149,33.64698854923604,0.11423161397724081,1.1351507006697639,COMPLETE
4,-8.429462945539075,2026-01-20 16:45:39.569933,2026-01-20 16:45:39.582414,0 days 00:00:00.012481,38.967020168525714,0.3995620536229379,2.14557022082929,COMPLETE
5,-8.8984219527705,2026-01-20 16:45:39.582964,2026-01-20 16:45:39.595141,0 days 00:00:00.012177,61.68381932942128,0.2576374986302212,1.5611575848488606,COMPLETE
6,-9.266451657684154,2026-01-20 16:45:39.595707,2026-01-20 16:45:39.607983,0 days 00:00:00.012276,63.58977105444178,0.6270485811925436,1.2692200697780782,COMPLETE
7,-8.319284393625477,2026-01-20 16:45:39.608529,2026-01-20 16:45:39.620850,0 days 00:00:00.012321,29.777641644301774,1.0926153889381,2.604862136048411,COMPLETE
8,-8.16935996979325,2026-01-20 16:45:39.621409,2026-01-20 16:45:39.633936,0 days 00:00:00.012527,52.22922046941548,0.6026144925103767,3.8927265667837823,COMPLETE
9,-8.093546381737294,2026-01-20 16:45:39.634617,2026-01-20 16:45:39.646889,0 days 00:00:00.012272,40.70208633342343,0.3559170319606647,2.7888179585563644,COMPLETE
10,-10.119900026260996,2026-01-20 16:45:39.647314,2026-01-20 16:45:39.662424,0 days 00:00:00.015110,48.33555123568499,0.6144156215442971,0.5484909435856458,COMPLETE
11,-8.110333936070672,2026-01-20 16:45:39.662947,2026-01-20 16:45:39.677946,0 days 00:00:00.014999,39.9520908949121,0.8967312879110547,2.995882608910442,COMPLETE
12,-8.09673578655954,2026-01-20 16:45:39.678467,2026-01-20 16:45:39.694113,0 days 00:00:00.015646,41.68260448578062,0.810774960423824,2.896730379182575,COMPLETE
13,-8.118487018080184,2026-01-20 16:45:39.694665,2026-01-20 16:45:39.710102,0 days 00:00:00.015437,45.76495047342808,0.7539937644174681,3.450596000120418,COMPLETE
14,-8.103192777393902,2026-01-20 16:45:39.710635,2026-01-20 16:45:39.725053,0 days 00:00:00.014418,51.20593273750925,0.408390429926135,2.5815954842699464,COMPLETE
15,-8.114550224043285,2026-01-20 16:45:39.725521,2026-01-20 16:45:39.740037,0 days 00:00:00.014516,42.62302437652984,0.4137411513317744,2.666707799242114,COMPLETE
16,-8.185864719081218,2026-01-20 16:45:39.740551,2026-01-20 16:45:39.755505,0 days 00:00:00.014954,32.647806458418096,0.8047314632617922,3.668135217837189,COMPLETE
17,-8.042973619244128,2026-01-20 16:45:39.756227,2026-01-20 16:45:39.771856,0 days 00:00:00.015629,55.90572523217388,0.49645064864777677,2.98584614767721,COMPLETE
18,-8.037696877312783,2026-01-20 16:45:39.772365,2026-01-20 16:45:39.787530,0 days 00:00:00.015165,56.466677346613665,0.2727458918390637,3.3030164549244585,COMPLETE
19,-8.045453363900467,2026-01-20 16:45:39.788075,2026-01-20 16:45:39.804265,0 days 00:00:00.016190,55.816419147309695,0.2651569518128399,3.3673245869503763,COMPLETE
20,-8.134292523010583,2026-01-20 16:45:39.804994,2026-01-20 16:45:39.820381,0 days 00:00:00.015387,56.927390559914194,0.5519640992574513,3.7595147581076924,COMPLETE
21,-8.044847073083014,2026-01-20 16:45:39.821185,2026-01-20 16:45:39.835596,0 days 00:00:00.014411,56.11830899096181,0.26396652668950255,3.3659202085595616,COMPLETE
22,-8.028822812879236,2026-01-20 16:45:39.836249,2026-01-20 16:45:39.851655,0 days 00:00:00.015406,55.072226946169096,0.24030754794455822,3.168647087461826,COMPLETE
23,-8.259234513005945,2026-01-20 16:45:39.852227,2026-01-20 16:45:39.866240,0 days 00:00:00.014013,51.67921387550852,0.057623622400338775,2.259376184092363,COMPLETE
24,-8.03793855132858,2026-01-20 16:45:39.866768,2026-01-20 16:45:39.880939,0 days 00:00:00.014171,58.354023271232286,0.49129689563648926,3.051746093518095,COMPLETE
25,-8.170437269030582,2026-01-20 16:45:39.881475,2026-01-20 16:45:39.895734,0 days 00:00:00.014259,60.0989485812867,0.18224692448793972,2.3597802473366754,COMPLETE
26,-8.02317611081424,2026-01-20 16:45:39.896260,2026-01-20 16:45:39.912078,0 days 00:00:00.015818,64.6152368948371,0.326798073909892,3.1990024694304644,COMPLETE
27,-8.068114081382344,2026-01-20 16:45:39.912628,2026-01-20 16:45:39.926643,0 days 00:00:00.014015,63.004615403002745,0.20732725330832724,3.602706229586407,COMPLETE
28,-8.14465964194048,2026-01-20 16:45:39.927116,2026-01-20 16:45:39.941822,0 days 00:00:00.014706,53.67471139412084,0.3288395401392278,3.9328272557735575,COMPLETE
29,-8.025621506288001,2026-01-20 16:45:39.942505,2026-01-20 16:45:39.956655,0 days 00:00:00.014150,64.33247977867003,0.3135787820967661,3.235010955088032,COMPLETE
30,-8.004542609525988,2026-01-20 16:45:39.957126,2026-01-20 16:45:39.971156,0 days 00:00:00.014030,64.49972925176384,0.0629225102975669,3.163630517446861,COMPLETE
31,-8.005060774245853,2026-01-20 16:45:39.971662,2026-01-20 16:45:39.986681,0 days 00:00:00.015019,63.799941713715704,0.0539541899041763,3.174569883473989,COMPLETE
32,-8.05003354581476,2026-01-20 16:45:39.987169,2026-01-20 16:45:40.002876,0 days 00:00:00.015707,64.1515824711223,0.05217094859238797,3.5791939403911326,COMPLETE
33,-8.008695068156335,2026-01-20 16:45:40.003407,2026-01-20 16:45:40.017982,0 days 00:00:00.014575,64.73956128938086,0.13682285074551637,3.1710839220336755,COMPLETE
34,-8.132125236766857,2026-01-20 16:45:40.018452,2026-01-20 16:45:40.033615,0 days 00:00:00.015163,59.74905336631251,0.13908778313324222,2.4453652730488082,COMPLETE
35,-8.041364313129321,2026-01-20 16:45:40.034187,2026-01-20 16:45:40.048594,0 days 00:00:00.014407,61.75446486449456,0.12943747225077085,2.821140081542733,COMPLETE
36,-8.00928527289982,2026-01-20 16:45:40.049103,2026-01-20 16:45:40.063795,0 days 00:00:00.014692,64.78296722356903,0.16407869988687218,3.1471874497664656,COMPLETE
37,-8.632091455349794,2026-01-20 16:45:40.064402,2026-01-20 16:45:40.078415,0 days 00:00:00.014013,60.37556012114159,0.09633416119827978,1.8041332756748312,COMPLETE
38,-8.42589640416065,2026-01-20 16:45:40.078922,2026-01-20 16:45:40.093173,0 days 00:00:00.014251,62.020262470344576,0.17178167244018758,1.984861528329366,COMPLETE
39,-8.04555167066447,2026-01-20 16:45:40.093716,2026-01-20 16:45:40.107889,0 days 00:00:00.014173,58.60678146466461,0.09448385723704567,3.512264734074365,COMPLETE
