number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler,params_scaler_post_pca,params_weight_decay,state
30,199.30960083007812,2026-01-02 16:53:18.248505,2026-01-02 16:53:27.028368,0 days 00:00:08.779863,gelu,0.17678744708761573,49,0.0038173093342676236,True,,minmax,0.0001470128447174334,COMPLETE
31,179.8108367919922,2026-01-02 16:53:27.036883,2026-01-02 16:53:35.441321,0 days 00:00:08.404438,mish,0.13189787648222928,35,0.0930765755432128,True,,minmax,0.00014568947191631091,COMPLETE
32,180.03652954101562,2026-01-02 16:53:35.449316,2026-01-02 16:53:44.010820,0 days 00:00:08.561504,mish,0.12400404101690045,37,0.0663679031688224,True,,minmax,0.0006074476678470333,COMPLETE
33,180.2880859375,2026-01-02 16:53:44.020338,2026-01-02 16:53:52.865455,0 days 00:00:08.845117,mish,0.13243949984843895,64,0.0513076764510525,True,,minmax,0.00014435451662731506,COMPLETE
34,199.34498291015626,2026-01-02 16:53:52.872971,2026-01-02 16:54:01.025958,0 days 00:00:08.152987,mish,0.16490948273165557,27,0.0008678877259822047,False,,none,0.0006131533215746357,COMPLETE
35,194.44241333007812,2026-01-02 16:54:01.033478,2026-01-02 16:54:08.707907,0 days 00:00:07.674429,mish,0.19632853658693297,4,0.06513173320055743,True,,minmax,6.625208330064274e-06,COMPLETE
36,170.92184448242188,2026-01-02 16:54:08.716926,2026-01-02 16:54:17.552251,0 days 00:00:08.835325,gelu,0.1195920134723173,47,0.03307869662881943,True,,none,0.00027348026872677205,COMPLETE
37,197.77821824815538,2026-01-02 16:54:17.560766,2026-01-02 16:54:26.108480,0 days 00:00:08.547714,gelu,0.15721907293331613,48,0.0008642012938901611,False,,none,0.00022225862737097735,COMPLETE
38,181.67105102539062,2026-01-02 16:54:26.116996,2026-01-02 16:54:34.649638,0 days 00:00:08.532642,gelu,0.20186877219262178,15,0.03648305707991837,True,,none,0.0002844419539889353,COMPLETE
39,181.67637634277344,2026-01-02 16:54:34.658147,2026-01-02 16:54:42.963773,0 days 00:00:08.305626,silu,0.23572703986741217,56,0.01000885202532574,True,,none,0.00017320778502047805,COMPLETE
40,369.7838155110677,2026-01-02 16:54:42.972789,2026-01-02 16:54:51.320162,0 days 00:00:08.347373,gelu,0.16212883990081683,21,2.5362111890147747e-05,False,,none,0.00010298726596451527,COMPLETE
41,165.7746124267578,2026-01-02 16:54:51.328673,2026-01-02 16:54:59.952209,0 days 00:00:08.623536,mish,0.1363687066429379,47,0.07209810335077721,True,,none,0.0005506765213057212,COMPLETE
42,175.7270965576172,2026-01-02 16:54:59.961718,2026-01-02 16:55:08.605648,0 days 00:00:08.643930,gelu,0.1219061561297052,43,0.025103897736617215,True,,none,0.00046055723070254344,COMPLETE
43,180.11672973632812,2026-01-02 16:55:08.612670,2026-01-02 16:55:16.864806,0 days 00:00:08.252136,silu,0.12165319022496611,45,0.013896986602371068,True,,none,0.0004846174995096833,COMPLETE
44,174.11923217773438,2026-01-02 16:55:16.872318,2026-01-02 16:55:25.633702,0 days 00:00:08.761384,mish,0.14576927477288232,53,0.02688268813700453,True,,none,0.0009266768427460225,COMPLETE
45,174.83230590820312,2026-01-02 16:55:25.641727,2026-01-02 16:55:34.522832,0 days 00:00:08.881105,gelu,0.1521403901059657,53,0.02249931981733364,True,,none,0.0009222888274411232,COMPLETE
46,180.65489196777344,2026-01-02 16:55:34.531346,2026-01-02 16:55:43.267745,0 days 00:00:08.736399,gelu,0.40263183686295234,45,0.0246903456624532,True,,none,0.0009417002302845219,COMPLETE
47,178.44088745117188,2026-01-02 16:55:43.276264,2026-01-02 16:55:52.138048,0 days 00:00:08.861784,gelu,0.14898274826392666,51,0.013638546098248707,True,,none,0.0006185906095534657,COMPLETE
48,180.31129455566406,2026-01-02 16:55:52.146055,2026-01-02 16:56:00.809759,0 days 00:00:08.663704,gelu,0.2466176729715277,29,0.019908012755599554,True,,none,0.0009241750486293337,COMPLETE
49,181.21926879882812,2026-01-02 16:56:00.816757,2026-01-02 16:56:09.647959,0 days 00:00:08.831202,gelu,0.17033944759946484,57,0.004720142125341721,True,,none,0.0004498916370504088,COMPLETE
50,185.28407287597656,2026-01-02 16:56:09.655971,2026-01-02 16:56:17.947578,0 days 00:00:08.291607,silu,0.11240466293780862,41,0.0021780777413928473,True,,none,0.0002792107711437761,COMPLETE
51,178.70510864257812,2026-01-02 16:56:17.955090,2026-01-02 16:56:26.926529,0 days 00:00:08.971439,gelu,0.14909297236061275,51,0.010733537269500222,True,,none,0.000602711700525835,COMPLETE
52,173.87232971191406,2026-01-02 16:56:26.936562,2026-01-02 16:56:35.712439,0 days 00:00:08.775877,gelu,0.1430543278394556,64,0.027782747675219238,True,,none,0.0006676897231317533,COMPLETE
53,168.68380737304688,2026-01-02 16:56:35.720954,2026-01-02 16:56:44.553392,0 days 00:00:08.832438,gelu,0.13781974597105023,56,0.044024448384109204,True,,none,0.0009866664376580792,COMPLETE
54,168.11898803710938,2026-01-02 16:56:44.560902,2026-01-02 16:56:53.386312,0 days 00:00:08.825410,gelu,0.20152306229441008,64,0.04130419455538716,True,,none,0.0007780950716581659,COMPLETE
55,169.26690673828125,2026-01-02 16:56:53.393830,2026-01-02 16:57:02.379460,0 days 00:00:08.985630,gelu,0.1975857575317183,63,0.04779824825070446,True,,none,0.0007335028192596978,COMPLETE
56,167.19384765625,2026-01-02 16:57:02.388484,2026-01-02 16:57:11.117749,0 days 00:00:08.729265,gelu,0.27205562884098616,64,0.047310424027984674,True,,none,2.436803020083026e-06,COMPLETE
57,169.91949462890625,2026-01-02 16:57:11.125759,2026-01-02 16:57:20.134055,0 days 00:00:09.008296,gelu,0.2732355995837208,64,0.04252538502738239,True,,none,2.5754561498983663e-06,COMPLETE
58,170.79122924804688,2026-01-02 16:57:20.142569,2026-01-02 16:57:29.045742,0 days 00:00:08.903173,gelu,0.2728603845798955,59,0.044471416347686324,True,,none,1.0543495749854155e-06,COMPLETE
59,334.75476738823784,2026-01-02 16:57:29.054262,2026-01-02 16:57:37.672193,0 days 00:00:08.617931,gelu,0.26333262942261676,61,0.0001458743585735139,False,,none,3.429809558739157e-06,COMPLETE
60,167.7267608642578,2026-01-02 16:57:37.679711,2026-01-02 16:57:46.498909,0 days 00:00:08.819198,gelu,0.2741710731935026,64,0.04826128426680536,True,,none,4.208926491701099e-06,COMPLETE
61,173.4896240234375,2026-01-02 16:57:46.508418,2026-01-02 16:57:55.838750,0 days 00:00:09.330332,gelu,0.3240448587068001,64,0.04334471153004619,True,,none,3.133950874405066e-06,COMPLETE
62,166.06198120117188,2026-01-02 16:57:55.846750,2026-01-02 16:58:04.364696,0 days 00:00:08.517946,gelu,0.2735191540115037,55,0.07104716257481096,True,,none,2.4435343678687846e-06,COMPLETE
63,163.5525665283203,2026-01-02 16:58:04.372205,2026-01-02 16:58:12.811912,0 days 00:00:08.439707,gelu,0.24258773905021652,57,0.07241167085820874,True,,none,5.302410273977211e-06,COMPLETE
