mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.005207443237304687,0.00045878813766379525,0.00110015869140625,0.00015376838374191214,30.544368568805915,1.1685918023174644,0.7626760873479397,rbf,"{'C': np.float64(30.544368568805915), 'epsilon': np.float64(1.1685918023174644), 'gamma': np.float64(0.7626760873479397), 'kernel': 'rbf'}",-7.023075706821913,-7.555411892766391,-7.302902650512242,-7.053120295343613,-7.328301693745596,-7.252562447837951,0.19617833323950332,6
0.007743120193481445,0.0015145702175414107,0.0010988235473632813,3.0400154584903584e-05,55.917440111132564,0.9864628562853854,1.8710736566524093,rbf,"{'C': np.float64(55.917440111132564), 'epsilon': np.float64(0.9864628562853854), 'gamma': np.float64(1.8710736566524093), 'kernel': 'rbf'}",-7.421829122133774,-8.759506940357833,-7.676921786333014,-7.114429099757978,-7.8844909221712305,-7.771435574150766,0.5571142739524696,89
0.005653905868530274,0.000779850974770452,0.0010798454284667968,0.0002618364635101728,49.38982855222724,0.9360851304183756,3.579774312657503,rbf,"{'C': np.float64(49.38982855222724), 'epsilon': np.float64(0.9360851304183756), 'gamma': np.float64(3.579774312657503), 'kernel': 'rbf'}",-7.790909239171804,-8.967005241763552,-8.393963823102226,-7.313359977586462,-7.749082948070367,-8.042864245938881,0.5760681812432967,171
0.005867481231689453,0.0008386839346701285,0.0018941402435302735,0.0015577829939737906,55.39505046365463,0.37931528185170343,3.585760480369614,rbf,"{'C': np.float64(55.39505046365463), 'epsilon': np.float64(0.37931528185170343), 'gamma': np.float64(3.585760480369614), 'kernel': 'rbf'}",-7.792131738688617,-9.004140869685502,-8.37041414628034,-7.32654149581679,-7.72067690632459,-8.042781031359167,0.5850010947501354,170
0.009173393249511719,0.0013842369660076134,0.002247190475463867,0.0014112084240707312,59.55636650543168,0.2161223586799158,1.539834271484537,rbf,"{'C': np.float64(59.55636650543168), 'epsilon': np.float64(0.2161223586799158), 'gamma': np.float64(1.539834271484537), 'kernel': 'rbf'}",-7.28841175088858,-8.633236722866156,-7.645564193729934,-7.525139264381413,-7.927136338742401,-7.8038976541216964,0.4629238609739743,104
0.0069007396697998045,0.0008701799510178221,0.0010773658752441407,0.00012434285736091262,62.448642845300625,0.5062468891230603,2.666914899175435,rbf,"{'C': np.float64(62.448642845300625), 'epsilon': np.float64(0.5062468891230603), 'gamma': np.float64(2.666914899175435), 'kernel': 'rbf'}",-7.609841138316333,-8.904395971617138,-8.129550111068726,-6.926988344628682,-7.666332010325144,-7.847421515191205,0.6531809262170992,123
0.006221675872802734,0.0007038788808584576,0.0010725021362304687,7.090483564266526e-05,41.35235344070652,0.6057733962301912,2.3672560017157958,rbf,"{'C': np.float64(41.35235344070652), 'epsilon': np.float64(0.6057733962301912), 'gamma': np.float64(2.3672560017157958), 'kernel': 'rbf'}",-7.469457283859695,-8.770273291976507,-7.857522034650145,-7.157875747785659,-7.707265636389692,-7.792478798932339,0.5430723539152337,96
0.006653547286987305,0.001825174324301078,0.001130819320678711,0.00030014279988307486,51.82156407564448,1.19096043418663,2.3367845593764,rbf,"{'C': np.float64(51.82156407564448), 'epsilon': np.float64(1.19096043418663), 'gamma': np.float64(2.3367845593764), 'kernel': 'rbf'}",-7.520345644859593,-8.779160264977536,-7.89761549630815,-6.901182733252857,-7.747327706770354,-7.769126369233698,0.6086659366307214,86
0.006060314178466797,0.002346052442100169,0.001100444793701172,0.00013383882141211484,45.648308732025065,0.8519580319227906,3.3867123043649348,rbf,"{'C': np.float64(45.648308732025065), 'epsilon': np.float64(0.8519580319227906), 'gamma': np.float64(3.3867123043649348), 'kernel': 'rbf'}",-7.735133076423143,-8.936054276816886,-8.328282181955956,-7.233651469122644,-7.71516959355118,-7.989658119573962,0.5868568728581042,158
0.006222963333129883,0.00035473229896350306,0.001062917709350586,3.814679384189658e-05,58.12730433017044,0.5593674382693943,1.0338006273205487,rbf,"{'C': np.float64(58.12730433017044), 'epsilon': np.float64(0.5593674382693943), 'gamma': np.float64(1.0338006273205487), 'kernel': 'rbf'}",-6.953328329876298,-8.20009445930788,-7.46563027477518,-7.612534388607549,-7.846093261336464,-7.615536142780675,0.41373058325438405,46
