number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_hidden_size,params_lr,params_scale_target,params_scaler_post_pca,params_weight_decay,state
15,182.8096954345703,2026-01-02 13:04:19.547605,2026-01-02 13:05:03.104859,0 days 00:00:43.557254,mish,0.10359947641230956,63,0.015793059046748353,True,none,0.00015771132261641174,COMPLETE
16,175.91263580322266,2026-01-02 13:05:03.111925,2026-01-02 13:05:44.336725,0 days 00:00:41.224800,mish,0.10630398808132903,43,0.02363018158461626,True,none,0.00022895206807109237,COMPLETE
17,190.36118927001954,2026-01-02 13:05:44.342202,2026-01-02 13:06:25.876801,0 days 00:00:41.534599,gelu,0.17808091983652252,41,0.0010080367744529986,True,none,8.960985852267778e-05,COMPLETE
18,179.65621643066407,2026-01-02 13:06:25.882276,2026-01-02 13:07:06.681477,0 days 00:00:40.799201,mish,0.17323891461697555,39,0.028063626076842846,True,none,2.307829046531753e-05,COMPLETE
19,184.28712463378906,2026-01-02 13:07:06.688495,2026-01-02 13:07:43.249814,0 days 00:00:36.561319,mish,0.1679625827010266,17,0.00907501882170599,True,none,0.0001967488856753033,COMPLETE
20,180.36052017211915,2026-01-02 13:07:43.255572,2026-01-02 13:08:23.034185,0 days 00:00:39.778613,mish,0.21042743067978104,43,0.03294853932722058,True,none,0.000943881110400357,COMPLETE
21,179.2951690673828,2026-01-02 13:08:23.040592,2026-01-02 13:09:02.596073,0 days 00:00:39.555481,gelu,0.131228837447218,44,0.013228776815738127,True,none,3.8848686462366874e-05,COMPLETE
22,192.27544097900392,2026-01-02 13:09:02.601484,2026-01-02 13:09:38.208956,0 days 00:00:35.607472,silu,0.3430560001194312,18,0.006757453798582662,True,none,0.000293994688232753,COMPLETE
23,177.83527755737305,2026-01-02 13:09:38.214746,2026-01-02 13:10:16.486654,0 days 00:00:38.271908,mish,0.3229017415272157,33,0.041073932442362106,True,none,0.0001149770927003957,COMPLETE
24,181.61083602905273,2026-01-02 13:10:16.492078,2026-01-02 13:10:54.833260,0 days 00:00:38.341182,mish,0.3478490529260777,34,0.037618629930664144,True,none,0.00011408254256268563,COMPLETE
25,183.52055969238282,2026-01-02 13:10:54.838977,2026-01-02 13:11:35.996978,0 days 00:00:41.158001,mish,0.303567000772182,50,0.02234754169740216,True,none,0.000509728971094169,COMPLETE
26,169.0216552734375,2026-01-02 13:11:36.002395,2026-01-02 13:12:14.181941,0 days 00:00:38.179546,mish,0.14588543006053015,31,0.04143496911851454,True,none,0.0001524355673427964,COMPLETE
27,179.48003692626952,2026-01-02 13:12:14.188898,2026-01-02 13:12:51.427010,0 days 00:00:37.238112,mish,0.13476722019700665,24,0.022783200825744757,True,none,4.356800802268768e-05,COMPLETE
28,169.52764816284179,2026-01-02 13:12:51.432453,2026-01-02 13:13:32.426240,0 days 00:00:40.993787,mish,0.2129401743362211,50,0.09073292552425086,True,none,0.00040324349544479285,COMPLETE
29,,2026-01-02 13:13:32.432306,2026-01-02 13:14:11.451128,0 days 00:00:39.018822,mish,0.214850210528566,49,0.09167434155574719,False,minmax,0.000412839317915025,FAIL
30,,2026-01-02 13:14:11.457655,2026-01-02 13:14:49.988151,0 days 00:00:38.530496,mish,0.21056571139207217,48,0.08811467495203772,False,minmax,0.00040599068170538464,FAIL
31,,2026-01-02 13:14:49.993433,2026-01-02 13:15:25.192575,0 days 00:00:35.199142,mish,0.22340180672964968,14,0.05790868733659464,False,minmax,0.0004673604936807658,FAIL
32,,2026-01-02 13:15:25.198936,2026-01-02 13:16:00.285774,0 days 00:00:35.086838,mish,0.2094645460784091,14,0.09144227498792219,False,minmax,0.00041993100290286064,FAIL
33,,2026-01-02 13:16:00.291092,2026-01-02 13:16:38.835555,0 days 00:00:38.544463,mish,0.212128294222772,48,0.09717891975709336,False,minmax,0.00045145934754486347,FAIL
34,,2026-01-02 13:16:38.841035,2026-01-02 13:17:17.961448,0 days 00:00:39.120413,mish,0.21631630033223817,48,0.09343539811252972,False,minmax,0.00044208644612813775,FAIL
35,,2026-01-02 13:17:17.967471,2026-01-02 13:17:56.849890,0 days 00:00:38.882419,mish,0.20563230160332777,49,0.08765510427828868,False,minmax,0.0004329976871745592,FAIL
36,,2026-01-02 13:17:56.855050,2026-01-02 13:18:31.980574,0 days 00:00:35.125524,mish,0.21358568942205475,14,0.08869527489468669,False,minmax,0.0004496733502667436,FAIL
37,,2026-01-02 13:18:31.986063,2026-01-02 13:19:11.303615,0 days 00:00:39.317552,mish,0.21606986623972974,47,0.058300803783476664,False,minmax,0.00043547307355857657,FAIL
38,,2026-01-02 13:19:11.310296,2026-01-02 13:19:49.985580,0 days 00:00:38.675284,mish,0.22846750405820684,48,0.09084463169541684,False,minmax,0.00040168145326071274,FAIL
39,,2026-01-02 13:19:49.991534,2026-01-02 13:20:25.460531,0 days 00:00:35.468997,mish,0.22250799720171532,14,0.09591924736963874,False,minmax,0.0004313786165207797,FAIL
40,,2026-01-02 13:20:25.467215,2026-01-02 13:21:00.906746,0 days 00:00:35.439531,mish,0.21066625398980032,14,0.09024005684669888,False,minmax,0.00038358113954445745,FAIL
41,,2026-01-02 13:21:00.912653,2026-01-02 13:21:36.102284,0 days 00:00:35.189631,mish,0.2163425081635432,14,0.09154289780248989,False,minmax,0.0004122016064904818,FAIL
42,,2026-01-02 13:21:36.108171,2026-01-02 13:22:12.633151,0 days 00:00:36.524980,mish,0.21381762822258543,31,0.09733376313687797,False,minmax,0.0004284783408717527,FAIL
43,,2026-01-02 13:22:12.638369,2026-01-02 13:22:51.202863,0 days 00:00:38.564494,mish,0.21414243939163247,48,0.08775257533695813,False,minmax,1.5401307588779155e-05,FAIL
44,,2026-01-02 13:22:51.208038,2026-01-02 13:23:27.714634,0 days 00:00:36.506596,mish,0.2162449732736717,31,0.09645034720521597,False,minmax,0.00037430652000028863,FAIL
45,,2026-01-02 13:23:27.721524,2026-01-02 13:24:06.345678,0 days 00:00:38.624154,mish,0.21526783455625736,48,0.08697972134944701,False,minmax,0.00040763061822688697,FAIL
46,,2026-01-02 13:24:06.350884,2026-01-02 13:24:44.933748,0 days 00:00:38.582864,mish,0.21418143874262566,48,0.09714865932289378,False,minmax,0.00047891477125089864,FAIL
47,,2026-01-02 13:24:44.938934,2026-01-02 13:25:20.025016,0 days 00:00:35.086082,mish,0.19798969401741917,14,0.08916182314777207,False,minmax,0.000445283123603938,FAIL
48,,2026-01-02 13:25:20.030965,2026-01-02 13:25:58.938585,0 days 00:00:38.907620,mish,0.2269435487812756,48,0.09398492753551721,False,minmax,0.0004030930904523328,FAIL
49,,2026-01-02 13:25:58.944466,2026-01-02 13:26:37.822467,0 days 00:00:38.878001,mish,0.2126509096520151,50,0.09060131078795483,False,minmax,0.0003831988247348265,FAIL
50,,2026-01-02 13:26:37.827739,2026-01-02 13:27:16.580386,0 days 00:00:38.752647,mish,0.2112864049079219,48,0.09621473651477648,False,minmax,0.00039805117613282964,FAIL
51,,2026-01-02 13:27:16.585800,2026-01-02 13:27:53.018987,0 days 00:00:36.433187,mish,0.20484127787879303,30,0.09223380839730222,False,minmax,0.00043365523792285245,FAIL
52,,2026-01-02 13:27:53.025434,2026-01-02 13:28:31.882853,0 days 00:00:38.857419,mish,0.21518553704254756,47,0.0857873538691458,False,minmax,0.00044261959059412016,FAIL
53,,2026-01-02 13:28:31.888137,2026-01-02 13:29:08.667871,0 days 00:00:36.779734,mish,0.21330386981914698,30,0.08011595015426777,False,minmax,0.0004130535781493077,FAIL
54,,2026-01-02 13:29:08.673173,2026-01-02 13:29:47.469434,0 days 00:00:38.796261,mish,0.20547778466188407,48,0.08576099773639645,False,minmax,0.00039825867469029384,FAIL
55,,2026-01-02 13:29:47.476069,2026-01-02 13:30:27.109982,0 days 00:00:39.633913,mish,0.21709142288346328,50,0.09970555965913236,False,minmax,0.00039224478170080194,FAIL
56,,2026-01-02 13:30:27.121488,2026-01-02 13:31:06.173400,0 days 00:00:39.051912,mish,0.21327558592529286,47,0.081307406043608,False,minmax,0.000445699264806039,FAIL
57,,2026-01-02 13:31:06.178613,2026-01-02 13:31:45.255093,0 days 00:00:39.076480,mish,0.213589524725052,49,0.09459224530985037,False,minmax,0.00047040498331108154,FAIL
58,,2026-01-02 13:31:45.262343,2026-01-02 13:32:22.214692,0 days 00:00:36.952349,mish,0.21920275038325754,32,0.09760094720458565,False,minmax,0.00044184142647763863,FAIL
59,,2026-01-02 13:32:22.220247,2026-01-02 13:32:57.658387,0 days 00:00:35.438140,mish,0.2144591618656545,14,0.09799765282484481,False,minmax,0.0005316962793910694,FAIL
60,,2026-01-02 13:32:57.664990,2026-01-02 13:33:32.966633,0 days 00:00:35.301643,mish,0.2133052261044996,14,0.09079513327076523,False,minmax,0.0004341876212233242,FAIL
61,,2026-01-02 13:33:32.971807,2026-01-02 13:34:12.053627,0 days 00:00:39.081820,mish,0.2049020316072512,47,0.08999870074992858,False,minmax,0.0004089567641543775,FAIL
62,,2026-01-02 13:34:12.059123,2026-01-02 13:34:50.888581,0 days 00:00:38.829458,mish,0.22339509380849368,48,0.09069720751463968,False,minmax,0.0004939937089047067,FAIL
63,,2026-01-02 13:34:50.894021,2026-01-02 13:35:26.336939,0 days 00:00:35.442918,mish,0.215647839982889,14,0.09930311643779327,False,minmax,0.000328771244910885,FAIL
64,,2026-01-02 13:35:26.342842,2026-01-02 13:36:05.632144,0 days 00:00:39.289302,mish,0.22061737336871778,50,0.08829525919195033,False,minmax,0.00040298060046421486,FAIL
65,,2026-01-02 13:36:05.637603,2026-01-02 13:36:44.656622,0 days 00:00:39.019019,mish,0.2190495786714749,47,0.09962459478566243,False,minmax,0.0004234525775802411,FAIL
66,,2026-01-02 13:36:44.662477,2026-01-02 13:37:20.047384,0 days 00:00:35.384907,mish,0.22709315758121437,14,0.09268877745994343,False,minmax,1.3848541611367217e-05,FAIL
67,,2026-01-02 13:37:20.053043,2026-01-02 13:37:56.716408,0 days 00:00:36.663365,mish,0.20310601833135783,30,0.09114452532184202,False,minmax,0.00043991666570309095,FAIL
68,,2026-01-02 13:37:56.721810,2026-01-02 13:38:33.399754,0 days 00:00:36.677944,mish,0.18072855768144763,31,0.09963251158093175,False,minmax,0.00042844254433306166,FAIL
69,,2026-01-02 13:38:33.406176,2026-01-02 13:39:12.567825,0 days 00:00:39.161649,mish,0.19922742497054252,47,0.09637145473539412,False,minmax,0.00042018830012632,FAIL
70,,2026-01-02 13:39:12.573315,2026-01-02 13:39:48.044544,0 days 00:00:35.471229,mish,0.22314360957224905,14,0.09463477086698492,False,minmax,0.0004323911795781761,FAIL
71,,2026-01-02 13:39:48.051565,2026-01-02 13:40:27.183046,0 days 00:00:39.131481,mish,0.21484065338742814,47,0.09907524903792697,False,minmax,0.0004326822297100139,FAIL
72,,2026-01-02 13:40:27.188591,2026-01-02 13:41:02.886607,0 days 00:00:35.698016,mish,0.21052957064073355,14,0.07716797483965206,False,minmax,0.00041934633965270583,FAIL
73,,2026-01-02 13:41:02.892392,2026-01-02 13:41:39.651587,0 days 00:00:36.759195,mish,0.2141146080312294,30,0.0923635329956246,False,minmax,0.00039805845550396963,FAIL
74,,2026-01-02 13:41:39.657381,2026-01-02 13:42:19.067931,0 days 00:00:39.410550,mish,0.21042138696156065,49,0.08068206633362301,False,minmax,0.00043106363489715577,FAIL
75,,2026-01-02 13:42:19.076708,2026-01-02 13:42:54.644578,0 days 00:00:35.567870,mish,0.21340431291018921,14,0.09203390902615953,False,minmax,0.0003990138387138832,FAIL
76,,2026-01-02 13:42:54.650022,2026-01-02 13:43:35.055382,0 days 00:00:40.405360,mish,0.20606372804231232,48,0.09825104092132049,False,minmax,0.00045573817925940964,FAIL
77,,2026-01-02 13:43:35.062285,2026-01-02 13:44:14.654255,0 days 00:00:39.591970,mish,0.21671052822320014,49,0.07665608788449514,False,minmax,0.00042615263625578087,FAIL
78,,2026-01-02 13:44:14.659700,2026-01-02 13:44:50.126276,0 days 00:00:35.466576,mish,0.20761024661318017,14,0.08807034427203392,False,minmax,0.0003999375387626813,FAIL
79,,2026-01-02 13:44:50.131425,2026-01-02 13:45:29.239153,0 days 00:00:39.107728,mish,0.21662137704997103,47,0.07452039279338052,False,minmax,0.0004098924762379202,FAIL
80,,2026-01-02 13:45:29.245006,2026-01-02 13:46:08.513869,0 days 00:00:39.268863,mish,0.19913585780118498,47,0.09835172332020707,False,minmax,0.00038569809561201886,FAIL
81,,2026-01-02 13:46:08.519266,2026-01-02 13:46:47.662654,0 days 00:00:39.143388,mish,0.21267858379279314,49,0.09967654400908531,False,minmax,0.0004343928438218446,FAIL
82,,2026-01-02 13:46:47.668082,2026-01-02 13:47:27.372096,0 days 00:00:39.704014,mish,0.2130962044757308,49,0.09982839629211321,False,minmax,0.00045632783665345395,FAIL
83,,2026-01-02 13:47:27.377987,2026-01-02 13:48:06.399353,0 days 00:00:39.021366,mish,0.21382519870224598,48,0.09085214209070823,False,minmax,0.00035576723230486615,FAIL
84,,2026-01-02 13:48:06.404801,2026-01-02 13:48:43.616801,0 days 00:00:37.212000,mish,0.2134371920869604,31,0.09858613097297009,False,minmax,0.00043858247166963144,FAIL
85,,2026-01-02 13:48:43.621987,2026-01-02 13:49:19.213078,0 days 00:00:35.591091,mish,0.21712971766080297,14,0.09005737053900394,False,minmax,0.00040688035234579656,FAIL
86,,2026-01-02 13:49:19.220097,2026-01-02 13:49:54.878409,0 days 00:00:35.658312,mish,0.2055520203689296,14,0.09642575277486083,False,minmax,0.0004653486327006274,FAIL
87,,2026-01-02 13:49:54.883889,2026-01-02 13:50:30.876240,0 days 00:00:35.992351,mish,0.21809349973182346,14,0.09927120396813113,False,minmax,0.0004544502126202881,FAIL
88,,2026-01-02 13:50:30.883267,2026-01-02 13:51:11.164058,0 days 00:00:40.280791,mish,0.20949440017636248,47,0.08367326293559041,False,minmax,0.0004355958410611452,FAIL
89,,2026-01-02 13:51:11.170460,2026-01-02 13:51:50.814147,0 days 00:00:39.643687,mish,0.2073518108028796,49,0.08235698984662596,False,minmax,0.0004476184258167955,FAIL
